activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,Unnamed: 7,duration_minutes,distance_miles,start_hour,same_place,day,Unnamed: 13,Unnamed: 14,formatted_date_column
1.66e+19,42.372127,-71.086885,42.38829299,-71.12392811,EAT,2022-10-12 00:21:00,,6,2.92798766,0,No,1,,,2022-10-12 00:21:00.000000
1.69e+19,42.370282,-71.11851899999999,42.372069,-71.11994,EAT,2022-10-12 00:59:00,,2,0.690559754,0,No,1,,,2022-10-12 00:59:00.000000
1.6e+19,42.373092,-71.119396,42.37769,-71.113837,EAT,2022-10-12 00:59:00,,1,0.7394306759999999,0,No,1,,,2022-10-12 00:59:00.000000
2.44e+18,42.369111,-71.109872,42.37241865,-71.11631325,EAT,2022-10-12 03:29:00,,1,0.589904216,3,No,1,,,2022-10-12 03:29:00.000000
1.48e+19,42.389247,-71.120337,42.38225684,-71.12309321,EAT,2022-10-12 04:28:00,,12,0.639368692,4,No,1,,,2022-10-12 04:28:00.000000
1.09e+19,42.364343,-71.102333,42.35758676,-71.10748926,EAT,2022-10-12 04:46:00,,15,0.8089874570000001,4,No,1,,,2022-10-12 04:46:00.000000
1.05e+19,42.368019,-71.075326,42.36266152,-71.10507469,EAT,2022-10-12 04:57:00,,5,2.7676770580000003,4,No,1,,,2022-10-12 04:57:00.000000
1.32e+19,42.372708,-71.116945,42.37220657,-71.08187541,EAT,2022-10-12 05:02:00,,5,2.369825061,5,No,1,,,2022-10-12 05:02:00.000000
2.84e+18,42.374189,-71.121151,42.359209899999996,-71.1108903,EAT,2022-10-12 05:08:00,,6,2.664530944,5,No,1,,,2022-10-12 05:08:00.000000
1.72e+19,42.373154,-71.095093,42.37073626,-71.09801170000001,EAT,2022-10-12 05:20:00,,5,0.293002417,5,No,1,,,2022-10-12 05:20:00.000000
1.32e+19,42.361649,-71.09047,42.36321885,-71.08768485,EAT,2022-10-12 05:23:00,,1,0.061299567,5,No,1,,,2022-10-12 05:23:00.000000
1.14e+19,42.373154,-71.095093,42.37015938,-71.09937807,EAT,2022-10-12 05:28:00,,4,0.773866135,5,No,1,,,2022-10-12 05:28:00.000000
7.2e+18,42.361649,-71.09047,42.360623,-71.08743,EAT,2022-10-12 05:30:00,,2,0.133294398,5,No,1,,,2022-10-12 05:30:00.000000
8.14e+18,42.372708,-71.116945,42.37241865,-71.11631325,EAT,2022-10-12 05:34:00,,1,0.059389902,5,No,1,,,2022-10-12 05:34:00.000000
1.71e+19,42.373154,-71.095093,42.36959191,-71.10712891,EAT,2022-10-12 05:36:00,,2,0.8907237290000001,5,No,1,,,2022-10-12 05:36:00.000000
1.48e+19,42.373154,-71.095093,42.36877116,-71.08906396,EAT,2022-10-12 05:38:00,,17,0.8871743759999999,5,No,1,,,2022-10-12 05:38:00.000000
1.09e+19,42.361649,-71.09047,42.365952,-71.082562,EAT,2022-10-12 05:38:00,,2,1.090699643,5,No,1,,,2022-10-12 05:38:00.000000
4.76e+18,42.361649,-71.09047,42.365952,-71.082562,EAT,2022-10-12 05:38:00,,11,0.607072992,5,No,1,,,2022-10-12 05:38:00.000000
1.26e+19,42.361649,-71.09047,42.35731286,-71.09384526,EAT,2022-10-12 05:44:00,,2,1.020802047,5,No,1,,,2022-10-12 05:44:00.000000
1.09e+19,42.373154,-71.095093,42.36580943,-71.09618056,EAT,2022-10-12 05:45:00,,1,0.593863545,5,No,1,,,2022-10-12 05:45:00.000000
