tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
552,06:52.2,16:05.1,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3894,Subscriber,2001,1,6723,-71.11263788,42.37182654,4334,-71.09414158,42.35832148,412,965,TRUE,TRUE
240,07:26.0,11:26.2,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5414,Subscriber,1997,1,162289,-71.10440066,42.3675739,45423,-71.09351742,42.35825592,445,686,TRUE,TRUE
4217,11:19.2,21:36.4,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,189,Kendall T,42.36242784,-71.08495474,4933,Subscriber,1982,0,91900,-71.09058495,42.36456765,101528,-71.08748081,42.36280808,679,4896,TRUE,TRUE
799,11:37.3,24:56.7,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5474,Subscriber,1991,1,41556,-71.09580711,42.35668294,120056,-71.1129692,42.37336274,697,1496,TRUE,TRUE
785,11:48.0,24:53.7,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,6033,Subscriber,1988,1,201809,-71.09108474,42.35945066,60858,-71.1115976,42.370915,707,1493,TRUE,TRUE
230,18:09.0,22:00.0,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3723,Subscriber,1991,1,259926,-71.0827925,42.36264191,91387,-71.0915413,42.36837425,1089,1319,TRUE,TRUE
490,27:01.5,35:11.8,185,Third at Binney,42.36544486,-71.08277142,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3084,Subscriber,1998,1,138469,-71.08260996,42.36810002,201811,-71.09044938,42.35955835,1621,2111,TRUE,TRUE
199,28:16.0,31:35.1,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,2919,Subscriber,1994,1,125410,-71.09493172,42.3655625,116408,-71.09949343,42.37059632,1695,1895,TRUE,TRUE
271,37:36.1,42:07.2,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,5194,Customer,1992,1,176475,-71.1063853,42.36454662,17348,-71.10014407,42.37006231,2256,2527,TRUE,TRUE
690,39:52.8,51:23.6,179,MIT Vassar St,42.35560121,-71.10394478,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,3027,Customer,1969,0,85709,-71.1019281,42.35765892,184701,-71.11382718,42.37008154,2392,3083,TRUE,TRUE
382,41:35.9,47:58.5,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,318,Ames St at Broadway,42.3636929,-71.0875672,3894,Subscriber,1991,1,45423,-71.09351742,42.35825592,225149,-71.0870465,42.36552715,2495,2878,TRUE,TRUE
581,43:12.0,52:53.3,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,2557,Customer,1985,1,257089,-71.12142949,42.3742045,134875,-71.10671324,42.36406835,2591,3173,TRUE,TRUE
222,54:29.9,58:12.7,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4847,Subscriber,1998,1,225046,-71.09845095,42.3642456,201814,-71.09067307,42.35941899,3269,3492,TRUE,TRUE
611,59:11.9,09:23.2,179,MIT Vassar St,42.35560121,-71.10394478,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,2399,Subscriber,1995,1,138435,-71.10703798,42.35517042,259136,-71.08457514,42.36919126,3551,4163,TRUE,TRUE
