tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
180,2019-10-10 00:06:40.6110,2019-10-10 00:09:41.3170,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5538,Subscriber,1996,1,60981,-71.10061991800005,42.36773756660244,186424,-71.09384120856029,42.367769388869746,400.0,581.0,True,True
354,2019-10-10 00:13:20.9060,2019-10-10 00:19:15.3570,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2338,Subscriber,1991,1,4323,-71.09477062896336,42.3590493371848,225064,-71.10343715000002,42.363580600000006,800.0,1155.0,True,True
437,2019-10-10 00:22:34.7210,2019-10-10 00:29:51.9170,334,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,5379,Customer,1996,1,136051,-71.1219777707327,42.391973730459135,16940,-71.14226347617569,42.3821183912739,1354.0,1791.0,True,True
462,2019-10-10 00:28:53.8600,2019-10-10 00:36:35.9420,189,Kendall T,42.362427842912396,-71.08495473861693,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4938,Subscriber,1986,1,245878,-71.08788993422861,42.36149681089946,158921,-71.10495202427624,42.357760573995435,1733.0,2195.0,True,True
438,2019-10-10 01:07:40.1010,2019-10-10 01:14:58.5790,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,5778,Customer,1969,0,30516,-71.09801134023586,42.360120672733736,178713,-71.10459595148262,42.36393001636135,4060.0,4498.0,True,True
511,2019-10-10 01:27:47.1850,2019-10-10 01:36:19.1000,185,Third at Binney,42.365444861374,-71.08277142047879,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2451,Subscriber,1998,1,225056,-71.08310551915746,42.363289115748046,41556,-71.09580711302365,42.356682935493545,5267.0,5779.0,True,True
282,2019-10-10 01:34:24.5120,2019-10-10 01:39:07.0690,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,2980,Customer,1969,0,120276,-71.12542078988976,42.378044832431726,184066,-71.11828855,42.37444275000001,5664.0,5947.0,True,True
5062,2019-10-10 02:03:12.2890,2019-10-10 03:27:34.9600,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2173,Customer,1969,0,120939,-71.11341390000001,42.37402855,15341,-71.12273284999998,42.38002935,7392.0,12454.0,True,True
5072,2019-10-10 02:03:26.4770,2019-10-10 03:27:58.7610,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,4375,Customer,1969,0,6757,-71.11434118180794,42.37060614817865,61313,-71.12642961369264,42.377840814272474,7406.0,12478.0,True,True
552,2019-10-10 02:11:10.3750,2019-10-10 02:20:23.2110,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,2951,Subscriber,1959,2,7645,-71.11339276274882,42.37325073489581,20694,-71.08227039670764,42.369093210733965,7870.0,8423.0,True,True
206,2019-10-10 02:18:33.1050,2019-10-10 02:22:00.0380,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,179,MIT Vassar St,42.35560121327927,-71.10394477844237,2451,Subscriber,1994,1,201809,-71.09108473972115,42.35945065790162,159112,-71.10672264526896,42.35520355941826,8313.0,8520.0,True,True
241,2019-10-10 02:28:57.4850,2019-10-10 02:32:58.9720,107,Ames St at Main St,42.3625,-71.08821999999998,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3995,Subscriber,1990,1,124885,-71.09067026844014,42.36242427898808,257045,-71.09212248927975,42.366331335752506,8937.0,9178.0,True,True
509,2019-10-10 04:46:24.9750,2019-10-10 04:54:54.7860,185,Third at Binney,42.365444861374,-71.08277142047879,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3743,Subscriber,1990,1,225162,-71.08170597141068,42.367262478422624,85393,-71.10488587002834,42.36639846827767,17184.0,17694.0,True,True
287,2019-10-10 05:07:10.9170,2019-10-10 05:11:58.0470,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,6130,Subscriber,1995,1,123182,-71.1249046274411,42.38221748614741,257072,-71.11966021191651,42.37273275684235,18430.0,18718.0,True,True
436,2019-10-10 05:10:37.7430,2019-10-10 05:17:54.5910,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,5585,Subscriber,1984,1,117152,-71.10695607911147,42.35697707847005,203988,-71.08749692110743,42.36175462581353,18637.0,19074.0,True,True
161,2019-10-10 05:27:52.5980,2019-10-10 05:30:34.3970,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,5209,Subscriber,1981,1,102992,-71.09706891376365,42.36874972881963,184916,-71.09675526998879,42.3711314264006,19672.0,19834.0,True,True
466,2019-10-10 05:28:45.0580,2019-10-10 05:36:31.5590,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,6066,Subscriber,1972,2,61882,-71.1057600938327,42.369477437301846,257073,-71.11954601889983,42.37257958509181,19725.0,20191.0,True,True
374,2019-10-10 05:49:40.8650,2019-10-10 05:55:54.8950,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,1635,Subscriber,1987,2,133410,-71.11438949999997,42.36553915,6724,-71.1193578187981,42.37182260326399,20980.0,21354.0,True,True
347,2019-10-10 05:52:21.1550,2019-10-10 05:58:08.8050,185,Third at Binney,42.365444861374,-71.08277142047879,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4495,Subscriber,1991,1,182848,-71.08279860092813,42.36802902277859,201805,-71.0923991735748,42.35900790575149,21141.0,21488.0,True,True
241,2019-10-10 05:53:46.5800,2019-10-10 05:57:48.2450,179,MIT Vassar St,42.35560121327927,-71.10394477844237,139,Dana Park,42.361780439606044,-71.10809952020645,3481,Subscriber,1992,1,161155,-71.1060889,42.3576161,225507,-71.1083961292329,42.362387614942286,21226.0,21468.0,True,True
735,2019-10-10 06:14:42.2380,2019-10-10 06:26:57.8160,176,Lesley University,42.38674802045056,-71.11901879310608,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4514,Subscriber,1993,2,225782,-71.12054698671373,42.38618127701131,201806,-71.0923463622157,42.35809006526161,22482.0,23217.0,True,True
470,2019-10-10 06:15:10.5580,2019-10-10 06:23:01.4980,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2823,Subscriber,1999,1,86426,-71.10731901414985,42.36944490667728,201801,-71.09356732431517,42.35975810091945,22510.0,22981.0,True,True
773,2019-10-10 06:20:37.6460,2019-10-10 06:33:31.0010,115,Porter Square Station,42.387995,-71.119084,117,Binney St / Sixth St,42.36608797388682,-71.08633603909766,3713,Subscriber,1969,1,96130,-71.11861707324351,42.385466521652816,225149,-71.08704649999999,42.36552715000001,22837.0,23611.0,True,True
421,2019-10-10 06:28:10.1840,2019-10-10 06:35:11.6650,189,Kendall T,42.362427842912396,-71.08495473861693,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,5585,Subscriber,1958,1,101528,-71.08748081038267,42.36280807589264,33716,-71.10362639005196,42.36125090430289,23290.0,23711.0,True,True
122,2019-10-10 06:28:49.4420,2019-10-10 06:30:51.7870,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5428,Subscriber,1994,1,6733,-71.10990509796879,42.37184647619592,246318,-71.1201229673358,42.372368457439386,23329.0,23451.0,True,True
682,2019-10-10 06:31:14.3000,2019-10-10 06:42:37.1420,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4212,Subscriber,1994,1,136944,-71.09962904137589,42.372434272509715,201815,-71.09306010155241,42.36038338513815,23474.0,24157.0,True,True
