#;activity;batteryLife;color;color_map;current_edge;current_path;destination;distancePerCycle;distanceTraveledBike;heading;index;last_trip_day;last_trip_h;location;name;real_speed;rider;speed;state;states;target;travelledPath
2;1;15725.491136605637;#red;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(8527);([road(8526),road(8535),road(8533),road(8532),road(8536),road(8527),road(759),road(721),road(717),road(718),road(724),road(768),road(904)]) as path;{1331.3652843736504,1550.6472399509532,0.0};0.0;489.0722651499179;31.9156041689398;2;1;9;{1327.1211456782987,1548.003892313086,0.0};'autonomousBike2';2.2222222222222223;nil;1.0;'low_battery';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];{1302.181494104385,1782.5931906448677,0.0};([polyline ([{1317.3135467249817,1542.810183280337,0.0},{1324.0407042846782,1546.0853222412989,0.0}]),polyline ([{1324.0407042846782,1546.0853222412989,0.0},{1327.1211456782987,1548.003892313086,0.0}])]) as path
3;1;60381.95791181946;#mediumslateblue;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(703);([road(6445),road(6454),road(6457),road(10106),road(4451),road(4445),road(4444),road(4448),road(4463),road(4465),road(4468),road(9054),road(9046),road(9043),road(9047),road(9077),road(9076),road(4389),road(4387),road(4390),road(4329),road(4287),road(4282),road(4283),road(4290),road(4429),road(4426),road(4420),road(4416),road(4414),road(4408),road(4407),road(4401),road(4396),road(4394),road(4397),road(9460),road(9461),road(9492),road(9490),road(4322),road(4320),road(340),road(341),road(420),road(4564),road(4563),road(3607),road(3608),road(3651),road(3655),road(1781),road(1377),road(1375),road(276),road(269),road(265),road(264),road(1372),road(8547),road(8548),road(9183),road(11126),road(299),road(300),road(703),road(702),road(492),road(493),road(645),road(637),road(630),road(632),road(642),road(649),road(653),road(6002)]) as path;{3266.3377708380112,931.5475852516106,0.0};0.0;4011.2730066890044;164.218396121432;3;1;8;{3271.149297666695,930.1877287971063,0.0};'autonomousBike3';2.2222222222222223;people(342);1.0;'in_use_people';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];{2917.7207201613346,882.0797042275468,0.0};([polyline ([{3281.841579508214,927.1658255648745,0.0},{3271.149297666695,930.1877287971063,0.0}])]) as path
7;1;38483.120538414885;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2578);([road(5970),road(5973),road(5974),road(5975),road(10257),road(10253),road(10252),road(9736),road(9733),road(2010),road(2009),road(11151),road(8322),road(1503),road(42),road(43),road(1506),road(1590),road(1585),road(1584),road(1588),road(1610),road(26),road(21),road(20),road(25),road(186),road(179),road(178),road(183),road(737),road(736),road(732),road(733),road(9582),road(9583),road(9699),road(910),road(892),road(849),road(850),road(11012),road(11009),road(11008),road(9401),road(9402),road(855),road(856),road(2564),road(2565),road(2570),road(2572),road(2575),road(2577),road(2578)]) as path;{478.60123384686983,1916.2748858320124,0.0};0.0;3253.242876416548;219.0265761173933;7;1;8;{482.4855037139893,1919.4232898085356,0.0};'autonomousBike7';0.6501430115963676;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{480.82185151355856,1926.6096332595355,0.0},{479.3376991083496,1925.7269993713126,0.0}]),polyline ([{479.3376991083496,1925.7269993713126,0.0},{478.15382000352855,1924.7674034089173,0.0}])]) as path
17;1;54904.87174162236;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2302);([road(8412),road(8408),road(8406),road(8410),road(1765),road(1760),road(1668),road(1665),road(1648),road(1644),road(1643),road(1647),road(1655),road(2360),road(2051),road(2052),road(2363),road(10879),road(11115),road(2189),road(2185),road(2184),road(2187),road(2215),road(2212),road(2211),road(2213),road(2205),road(2202),road(2203),road(2207),road(2222),road(2227),road(2229),road(2240),road(7552),road(9703),road(9845),road(9846),road(2328),road(2311),road(2309),road(2310),road(2307),road(2302)]) as path;{1555.1487921476587,2270.692170044114,0.0};0.0;2529.867780097996;297.2493003412082;17;1;8;{1552.85947685274,2275.1372837075032,0.0};'autonomousBike17';0.1405620803999744;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1568.292642930695,2283.876190764309,0.0},{1568.6144338512402,2283.2513763401685,0.0}])]) as path
19;1;65048.63117468425;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2234);([road(4535),road(4413),road(4401),road(4396),road(4394),road(4397),road(9460),road(9461),road(9492),road(9490),road(4322),road(4320),road(340),road(341),road(420),road(4564),road(4563),road(8518),road(517),road(518),road(7),road(5),road(1396),road(1397),road(1382),road(565),road(556),road(557),road(573),road(575),road(203),road(205),road(217),road(214),road(216),road(223),road(9869),road(1567),road(1558),road(1556),road(45),road(46),road(1509),road(1510),road(1516),road(1585),road(1584),road(1588),road(1614),road(9864),road(1572),road(1568),road(1569),road(1574),road(1680),road(1678),road(1682),road(12079),road(12073),road(2163),road(2162),road(2156),road(2155),road(2273),road(2159),road(2157),road(2259),road(2256),road(2252),road(2253),road(2239),road(2234)]) as path;{1802.8281408502644,2299.039360900648,0.0};0.0;3680.5692121064044;89.92746128424845;19;1;8;{1802.8218106548302,2294.039364907787,0.0};'autonomousBike19';1.130202106755531;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1810.7879584347854,2288.4305396971254,0.0},{1811.3806470379932,2291.716550496407,0.0}]),polyline ([{1811.3806470379932,2291.716550496407,0.0},{1811.3835740908992,2294.0285253719376,0.0}])]) as path
21;1;71692.35852802647;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2318);([road(2318)]) as path;{1384.604829881655,2363.685735034542,0.0};0.0;19.856005733013113;285.5821481588016;21;1;7;{1383.2617313230294,2368.501966576092,0.0};'autonomousBike21';1.814478179642188;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1380.8247082952944,2377.2409136163383,0.0},{1383.2617313230294,2368.501966576092,0.0}])]) as path
22;1;25498.53184543722;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(8526);([road(2045),road(2015),road(2012),road(2006),road(2007),road(10250),road(1579),road(1580),road(1614),road(1610),road(26),road(21),road(20),road(25),road(186),road(179),road(178),road(183),road(737),road(736),road(738),road(174),road(175),road(746),road(750),road(753),road(759),road(8527),road(8536),road(8532),road(8533),road(8535),road(8526)]) as path;{1194.2593859441295,1563.549006025313,0.0};0.0;2021.719884841047;205.00913694207892;22;1;8;{1198.790587847609,1565.662819950403,0.0};'autonomousBike22';0.2424068806962653;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1196.612011270966,1573.1997853186722,0.0},{1195.5136167517385,1572.6873822787188,0.0}])]) as path
25;1;54010.770149949836;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(785);([road(3088),road(3091),road(3096),road(3131),road(3100),road(3101),road(3102),road(3104),road(3118),road(3119),road(3120),road(3122),road(2395),road(2375),road(2370),road(2366),road(2367),road(2373),road(9964),road(2527),road(2524),road(2521),road(2522),road(2525),road(10879),road(11115),road(2189),road(2186),road(2180),road(2177),road(2174),road(2172),road(2169),road(2164),road(2160),road(2148),road(2144),road(2145),road(2149),road(9113),road(10069),road(11108),road(7592),road(7591),road(2288),road(1145),road(1140),road(1139),road(1142),road(1149),road(1154),road(1186),road(730),road(725),road(726),road(731),road(743),road(748),road(749),road(766),road(722),road(718),road(716),road(720),road(785)]) as path;{995.0065894767899,1851.3886038880175,0.0};0.0;3245.67660927391;127.94055862373784;25;1;9;{998.0808075977353,1847.445358657899,0.0};'autonomousBike25';1.8595847306374282;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1008.8999728619447,1844.7593621674257,0.0},{1003.3514032057719,1847.7679823776707,0.0}]),polyline ([{1003.3514032057719,1847.7679823776707,0.0},{1001.515384710094,1850.1230108404086,0.0}])]) as path
28;1;48198.602561842185;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2962);([road(10007),road(10008),road(428),road(422),road(424),road(429),road(11199),road(11268),road(11266),road(10901),road(3865),road(3863),road(10697),road(1785),road(1782),road(1783),road(1451),road(1449),road(1450),road(1454),road(1456),road(1483),road(1487),road(1488),road(1444),road(1438),road(1439),road(1447),road(9732),road(2010),road(2008),road(7520),road(1967),road(1966),road(1915),road(1912),road(1906),road(1904),road(1908),road(1993),road(1989),road(1990),road(1995),road(2017),road(2018),road(2023),road(2048),road(2052),road(2363),road(10879),road(11115),road(2189),road(2185),road(2184),road(2187),road(2215),road(2212),road(2211),road(2213),road(2205),road(2202),road(2204),road(2209),road(2353),road(2354),road(2356),road(7603),road(7607),road(7529),road(7528),road(7606),road(7609),road(8016),road(10656),road(10657),road(10659),road(11974),road(11129),road(4663),road(4658),road(4661),road(2717),road(2715),road(2740),road(2733),road(2724),road(2726),road(2738),road(9122),road(2791),road(2792),road(2956),road(2958),road(2962)]) as path;{1089.6549627084803,3299.0901508208176,0.0};0.0;4395.19292568089;321.95907895761275;28;1;8;{1085.7171084935933,3302.1712714257756,0.0};'autonomousBike28';1.168444012337682;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1076.6860671621862,3299.7561055767214,0.0},{1078.1740444723982,3299.5799286216497,0.0}]),polyline ([{1078.1740444723982,3299.5799286216497,0.0},{1081.5951335652837,3296.903143875369,0.0}])]) as path
31;1;59565.75795264483;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2255);([road(9703),road(9845),road(9846),road(2328),road(2311),road(2309),road(2308),road(2265),road(2255)]) as path;{1615.5492377648327,2124.8370607925267,0.0};0.0;469.9481498260673;312.3678489347782;31;1;8;{1612.1797982489516,2128.5312288110144,0.0};'autonomousBike31';1.5923282618360037;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1604.6630095291268,2132.2447755335184,0.0},{1606.4222411316587,2128.702001782134,0.0}]),polyline ([{1606.4222411316587,2128.702001782134,0.0},{1609.121917546755,2125.7421450386287,0.0}])]) as path
