tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
1148,2019-10-10 00:00:34.9220,2019-10-10 00:19:43.4600,333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,330,30 Dane St,42.38100143038053,-71.10402522613184,4356,Subscriber,1996,2,130696,-71.14969733111782,42.37277370779983,96252,-71.10315176525098,42.383252190569195,34.0,1183.0
2040,2019-10-10 00:02:45.0050,2019-10-10 00:36:45.0490,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,37,New Balance - 20 Guest St,42.357329218677066,-71.14673539996147,5301,Customer,1995,1,124721,-71.09497656677812,42.37244835008788,37486,-71.14752731869305,42.35477160160441,165.0,2205.0
184,2019-10-10 00:03:33.3410,2019-10-10 00:06:37.8920,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,3088,Subscriber,1998,1,247264,-71.08862768353497,42.35081387078147,169,-71.09803039763692,42.350521595293195,213.0,397.0
760,2019-10-10 00:03:38.6160,2019-10-10 00:16:18.6240,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,366,Broadway T Stop,42.34278116224414,-71.05747275072645,5785,Subscriber,1991,1,257190,-71.05276069613828,42.360547862077304,251494,-71.05522175969489,42.341916268998844,218.0,978.0
744,2019-10-10 00:03:44.3440,2019-10-10 00:16:09.2940,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,366,Broadway T Stop,42.34278116224414,-71.05747275072645,5466,Customer,1969,0,246132,-71.05243601728952,42.358755012056456,99122,-71.05582603177083,42.34048276035721,224.0,969.0
545,2019-10-10 00:05:47.4410,2019-10-10 00:14:52.9050,33,Kenmore Square,42.348706,-71.097009,5,Northeastern University - North Parking Lot,42.341814,-71.090179,4936,Subscriber,2000,1,259420,-71.09841959343413,42.34672443289388,186492,-71.09113401337117,42.33994052677131,347.0,892.0
272,2019-10-10 00:06:23.7620,2019-10-10 00:10:55.9910,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,4795,Subscriber,1993,1,202643,-71.09082929840399,42.33789135576326,254869,-71.07816089273332,42.33711772142557,383.0,655.0
180,2019-10-10 00:06:40.6110,2019-10-10 00:09:41.3170,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,5538,Subscriber,1996,1,60981,-71.10061991800004,42.367737566602436,186424,-71.09384120856029,42.367769388869746,400.0,581.0
727,2019-10-10 00:06:53.9310,2019-10-10 00:19:01.1900,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,188,Foss Park,42.39108438146733,-71.09039425849916,3294,Subscriber,1995,1,17159,-71.11279534682569,42.37145983492815,209748,-71.09016474759169,42.3914623665885,413.0,1141.0
345,2019-10-10 00:08:44.0490,2019-10-10 00:14:29.5630,352,Ring Rd,42.34827838542626,-71.08044855314802,36,Copley Square - Dartmouth St at Boylston St,42.349928282300574,-71.07739206866427,3617,Subscriber,1982,1,248103,-71.08138918290423,42.349673113293505,248229,-71.07520433417889,42.35181322504693,524.0,869.0
